word,definition,difficulty
Abate,to become less active,easy
Abstract,existing purely in the mind;not representing actual reality,easy
Abysmal,extremely bad,ease
Accordingly,in accordance with,easy
Acquisition,the act of gaining a skill or possession of something,easy
Adapt,to make suit a new purpose,easy
Adept,having knowledge or skill (usu.inaparticulararea),easy
Adequate,having sufficient qualifications to meet a specific task or purpose,easy
Advent,the arrival or creation of something (usu.historic),easy
Adversarial,relating to hostile opposition,easy
Advocate,someone who promotes or defends something,easy
Aesthetic,relatingtobeautyorrefinedtaste,easy
Afford,tobeabletobuy,easy
Agitate,topromotesomething(usu.acause),easy
Allow,topermitorconsentto,easy
Allude,tomakeasecretivementionofsomething,easy
Altercation,anoisyargumentorconfrontation,easy
Ambiguous,unclearorvagueinmeaning,easy
Ambitious,havingapowerfuldesireforsuccessorachievement,easy
Ambivalence,thestateofbeinguncertainorstuckbetweentwoormoreoptions,easy
Analogous,similarbutnotidentical,easy
Annihilate,todestroyorcausedevastatingdestruction,easy
Anomaly,somethingdifferentfromthenorm,easy
Anticipate,assumetobelikelytohappen,easy
Antipathy,astrongfeelingofdislike,easy
Apex,thehighestpointofsomething,easy
Apprehension,fearfulexpectationofsomething,easy
Articulate,toclearlyexpressinwords,easy
Artificial,somethingmade;notoccurringnaturally,easy
Assertion,astrongdeclaration,easy
Austere,extremelyplainorsternandforbiddingorrelatingtoself-denial,easy
Authenticity,thequalityofbeingrealandtrueinsteadoffakeandcontrived,easy
Avenue,anintangiblepathorapproachtosomething,easy
Avid,activelyinterestedinorenthusiasticaboutsomething,easy
Basic,relatingtothefoundationorbasisofsomething,easy
Bear,tohaveasacharacteristicortohave(achild),easy
Benevolent,"kind,generous",easy
Bias,apreconceptionthatpreventsobjectivity,easy
Bittersweet,tingedwithafeelingofsadness,easy
Bolster,"tosupport,strengthen,orfortify",easy
Boost,anincreaseorgrowth,easy
Brawl,"anintense,loudfight",easy
Brevity,thequalityofbeingbrieforterse,easy
Candid,"direct,blunt",easy
Candor,thetraitofbeinghonestandfrank,easy
Capitalize,tousetoyouradvantage,easy
Capture,totraportakepossessionof,easy
Civic,relatingtothecityorcitizens,easy
Clinical,emotionallyunattached(usu.usedinmedicalorscientificsetting),easy
Clout,specialadvantageorpower,easy
Coarse,indicatingaroughtexture,easy
Coincide,tohappenatthesametime,easy
Commission,"theuseofpaymenttorequestsomething(e.g.,aserviceorproduct)",easy
Comparable,abletobecompared,easy
Competent,sufficientlyqualified,easy
Complacent,"satisfied,withnodesiretochangeorimprove",easy
Complement,tomakeperfectorcomplete,easy
Concede,tobeforcedtoagreeorsurrender,easy
Conceive,toimagineorcomeupwith,easy
Condone,"tooverlook,approve,orallow",easy
Conducive,abletobringaboutorbesuitablefor,easy
Conduct,tocontrolormanage,easy
Confide,tosharesomethingsecretivewithsomeone,easy
Confine,toputlimitson;torestrict,easy
Consensus,overallagreement,easy
Constitute,toformorcompose(partof)something,easy
Contemplate,tothinkdeeplyabout,easy
Contend,tomaintainorassert(anopinion),easy
Contradict,tobeincontrastwith,easy
Controversial,highlydebatableandcausingcontention,easy
Conventional,abidingbyacceptedstandards,easy
Convey,topassonortransfer(information),easy
Conviction,afirmbeliefinsomething,easy
Corroborate,toprovideevidencefor;tobackup(aclaim),easy
Counteract,toworkinoppositionto,easy
Counterargument,anargumentusedtocriticizeordismantleanotherargument,easy
Counterproductive,hinderingtheachievementofagoal,easy
Culmination,thefinalactorclimax,easy
Cultivate,tofosterthegrowthof,easy
Decree,todeclareformallyandwithauthority,easy
Deference,respect;regard,easy
Deficient,notenoughindegreeoramount,easy
Demonstrate,todoasanexample,easy
Demur,toobjectto,easy
Deplete,to(over)useovertime(usu.resources),medium
Desolate,"bare,barren,empty",medium
Devise,tocomeupwith(aplan),medium
Dilemma,"aproblem,usuallyrequiringachoicebetweentwooptions",medium
Diligence,conscientiousness;thequalityofbeingcommittedto,medium
Diminish,tobecomesmallerinscopeordegree,medium
Dire,hopelessanddangerousorfearful,medium
Discord,disagreement,medium
Disdain,alackofrespectandstrongdislike(towardsomethingorsomeone),medium
Dismay,"hopelessness,stress,orconsternation",medium
Disparage,tobelittleorspeakdownto,medium
Dispatch,tosendoffamessageormessenger,medium
Diversification,theactofbecomingdiverse,medium
Doctrine,"aprinciple,theory,orposition,usu.advocatedbyareligionorgov’t",medium
Dominion,powerandauthority(usu.overaterritory),medium
